max_affordable_price,product,location,email,Order_size,contact,expected_delivery_time( num of days),Order_id
$4795.36,Tools,Pennsylvania,pfieldsend0@sphinn.com,4646,215-954-6241,12,1
$4966.09,Beauty,California,wsleaford1@patch.com,244,559-396-5347,14,2
$1946.03,Health,California,kmotton2@intel.com,4325,916-657-6269,9,3
$4028.50,Music,New Jersey,wbradbeer3@wired.com,147,973-534-1412,1,4
$3840.89,Baby,Ohio,ilaxton4@gravatar.com,4629,937-244-4781,16,5
$3644.31,Sports,Ohio,lstanford5@state.gov,966,234-874-4030,15,6
$112.94,Music,North Carolina,kpabel6@nps.gov,4075,336-779-4225,28,7
$260.17,Toys,Florida,lmacfall7@hud.gov,3316,727-580-6725,8,8
$928.15,Health,North Carolina,eocanavan8@google.cn,4729,336-307-8557,3,9
$2663.29,Toys,California,epaddison9@miitbeian.gov.cn,53,626-729-4259,3,10
$1784.60,Games,Connecticut,lswinea@epa.gov,4941,203-435-8681,19,11
$2405.68,Health,New Jersey,kpasseb@google.com.hk,2434,973-488-4687,6,12
$585.08,Jewelry,Wisconsin,ladanc@cbc.ca,398,414-806-8506,11,13
$2927.38,Shoes,New Jersey,hohenecand@altervista.org,3653,609-364-0035,16,14
$1579.62,Health,Florida,jperschkee@nymag.com,1772,727-274-5586,25,15
$4046.29,Garden,California,scallesf@moonfruit.com,4053,714-835-1512,17,16
$3478.67,Movies,California,sattwoolg@bizjournals.com,4922,530-402-8445,25,17
$19.47,Garden,Ohio,pplumptreh@usnews.com,1119,513-890-0944,1,18
$4470.14,Industrial,California,lfurneauxi@delicious.com,630,619-366-1246,8,19
$4731.65,Industrial,Connecticut,bkirkupj@wiley.com,4362,860-746-9593,25,20
$1598.13,Industrial,California,zbogaysk@mit.edu,3652,805-767-8327,24,21
$1997.46,Grocery,California,rbrisseaul@tmall.com,4024,818-402-9597,11,22
$731.75,Outdoors,Florida,epaurm@about.com,3838,305-454-5894,2,23
$4211.46,Books,California,gairesn@nymag.com,919,714-165-5298,1,24
$4530.56,Baby,California,cchildeo@unblog.fr,721,559-962-8877,7,25
$2939.76,Jewelry,New Jersey,nosheerinp@hexun.com,3573,862-141-1085,3,26
$1670.34,Computers,California,jkatteq@nps.gov,2107,916-350-3820,3,27
$3354.82,Grocery,California,fsowrayr@mtv.com,2089,909-855-7109,3,28
$3424.36,Electronics,Connecticut,hlongs@fc2.com,2535,203-389-5582,23,29
$1205.44,Clothing,Pennsylvania,mpauluscht@usatoday.com,1174,814-593-0678,26,30
$517.65,Automotive,North Carolina,kguthrieu@canalblog.com,4932,704-337-3447,12,31
$4853.23,Industrial,California,sthickpennyv@ezinearticles.com,3866,559-366-0493,21,32
$2011.30,Music,Ohio,cdewittw@smugmug.com,2321,330-918-9715,8,33
$3603.99,Jewelry,Florida,touthwaitex@g.co,522,305-268-4916,15,34
$446.41,Industrial,Pennsylvania,rparleyy@php.net,553,215-140-2110,20,35
$2677.64,Outdoors,Alabama,cascoughz@prnewswire.com,4719,205-368-1956,25,36
$1701.80,Beauty,Alabama,atarte10@cornell.edu,2942,251-136-5480,5,37
$1649.61,Health,Florida,smantz11@si.edu,2087,407-401-7464,29,38
$2421.07,Outdoors,New Jersey,lpulbrook12@cocolog-nifty.com,2878,609-535-7057,22,39
$1749.77,Home,North Carolina,mtrencher13@nba.com,4729,704-959-2848,2,40
$2701.07,Music,California,jjansa14@odnoklassniki.ru,4152,626-466-4477,3,41
$1894.94,Toys,Ohio,kscading15@booking.com,194,419-705-4844,15,42
$944.07,Tools,California,epanther16@marketwatch.com,264,510-160-3068,25,43
$2154.31,Industrial,Wisconsin,gwheowall17@diigo.com,2276,608-457-5163,20,44
$506.67,Industrial,Ohio,sspellworth18@vkontakte.ru,2778,330-330-0026,4,45
$2939.71,Automotive,California,akliemke19@ycombinator.com,3736,916-629-8113,25,46
